network,task,Approach,Accuracy,Precision,Recall,Macro-F1
SetA,Binary,Component-based,0.8638,0.7782,0.7233,0.7403
SetA,Binary,Sequence-based,0.9267,0.7031,0.6407,0.6343
SetA,Multiclass,Component-based,0.8527,0.6312,0.6668,0.6193
SetA,Multiclass,Sequence-based,0.9371,0.6608,0.5182,0.545
SetB,Binary,Component-based,0.8215,0.7427,0.6314,0.6308
SetB,Binary,Sequence-based,0.9907,0.9431,0.9204,0.9265
SetB,Multiclass,Component-based,0.8345,0.7857,0.6437,0.6562
SetB,Multiclass,Sequence-based,0.9902,0.9114,0.8032,0.8382
SetC,Binary,Component-based,0.7712,0.7233,0.6966,0.6955
SetC,Binary,Sequence-based,0.9872,0.937,0.8796,0.8981
SetC,Multiclass,Component-based,0.7563,0.6763,0.5327,0.5456
SetC,Multiclass,Sequence-based,0.9883,0.863,0.7076,0.7457
SetD,Binary,Component-based,0.9812,0.9818,0.9799,0.9806
SetD,Binary,Sequence-based,0.9826,0.9742,0.927,0.946
SetD,Multiclass,Component-based,0.9626,0.9338,0.922,0.9272
SetD,Multiclass,Sequence-based,0.9713,0.9054,0.813,0.8355
