network,task,Split,Accuracy,Precision,Recall,Macro-F1
SetA,Binary,Random split,0.9112,0.808,0.7675,0.7684
SetA,Binary,Time split,0.8959,0.6591,0.5656,0.5664
SetA,Multiclass,Random split,0.9212,0.7643,0.6368,0.667
SetA,Multiclass,Time split,0.8911,0.5424,0.4834,0.4578
SetB,Binary,Random split,0.9335,0.8771,0.8496,0.8518
SetB,Binary,Time split,0.9297,0.8845,0.7866,0.8021
SetB,Multiclass,Random split,0.9444,0.8978,0.7774,0.8099
SetB,Multiclass,Time split,0.9276,0.8625,0.7344,0.7615
SetC,Binary,Random split,0.9261,0.876,0.8558,0.8585
SetC,Binary,Time split,0.8971,0.8595,0.7717,0.8003
SetC,Multiclass,Random split,0.9307,0.8619,0.7174,0.7581
SetC,Multiclass,Time split,0.8832,0.768,0.5736,0.5945
SetD,Binary,Random split,0.9818,0.972,0.9575,0.9636
SetD,Binary,Time split,0.9857,0.9824,0.9529,0.9649
SetD,Multiclass,Random split,0.9688,0.9237,0.8682,0.8825
SetD,Multiclass,Time split,0.9725,0.9183,0.8694,0.8872
