model,Category,Regime,Accuracy,Precision,Recall,Macro-F1
gru,Deep Learning,In-network,0.976,0.8853,0.8202,0.8396
gru,Deep Learning,Cross-network,0.8358,0.6015,0.5803,0.5258
rnn,Deep Learning,In-network,0.9752,0.8944,0.8073,0.8327
rnn,Deep Learning,Cross-network,0.8256,0.6033,0.5724,0.5155
lstm,Deep Learning,In-network,0.9789,0.8976,0.8005,0.8291
lstm,Deep Learning,Cross-network,0.7459,0.5573,0.5389,0.46
lightgbm,Classical ML,In-network,0.9218,0.8528,0.8026,0.8105
lightgbm,Classical ML,Cross-network,0.7765,0.6055,0.5905,0.545
xgboost,Classical ML,In-network,0.9227,0.8633,0.7972,0.8088
xgboost,Classical ML,Cross-network,0.774,0.604,0.5766,0.5338
random-forest,Classical ML,In-network,0.9202,0.851,0.795,0.8072
random-forest,Classical ML,Cross-network,0.7681,0.6054,0.5924,0.5422
nn,Deep Learning,In-network,0.9642,0.8615,0.7593,0.7722
nn,Deep Learning,Cross-network,0.7085,0.5667,0.5084,0.43
mlp,Deep Learning,In-network,0.9741,0.8969,0.7364,0.7721
mlp,Deep Learning,Cross-network,0.8183,0.6158,0.5293,0.4923
knn,Classical ML,In-network,0.9091,0.8092,0.7432,0.7606
knn,Classical ML,Cross-network,0.6409,0.5184,0.5119,0.4358
logistic-regression,Classical ML,In-network,0.9074,0.7785,0.6833,0.6968
logistic-regression,Classical ML,Cross-network,0.7903,0.6093,0.5439,0.5296
svm,Classical ML,In-network,0.9006,0.7768,0.681,0.6779
svm,Classical ML,Cross-network,0.637,0.5356,0.479,0.397
