pair,task,split,Direction,Accuracy,Precision,Recall,Macro-F1
SetA↔SetD,Binary,Random split,SetA→SetD,0.8707,0.8231,0.7093,0.728
SetA↔SetD,Binary,Random split,SetD→SetA,0.5375,0.516,0.5056,0.4296
SetA↔SetD,Binary,Time split,SetA→SetD,0.8593,0.8625,0.6964,0.6879
SetA↔SetD,Binary,Time split,SetD→SetA,0.6448,0.5493,0.66,0.4853
SetA↔SetD,Multiclass,Random split,SetA→SetD,0.8382,0.7301,0.5641,0.5903
SetA↔SetD,Multiclass,Random split,SetD→SetA,0.4888,0.3656,0.4609,0.3162
SetA↔SetD,Multiclass,Time split,SetA→SetD,0.8595,0.68,0.585,0.5793
SetA↔SetD,Multiclass,Time split,SetD→SetA,0.6456,0.3922,0.5861,0.3808
SetC↔SetD,Binary,Random split,SetC→SetD,0.8104,0.8024,0.697,0.6811
SetC↔SetD,Binary,Random split,SetD→SetC,0.6721,0.5635,0.6936,0.5152
SetC↔SetD,Binary,Time split,SetC→SetD,0.8695,0.8913,0.7367,0.7434
SetC↔SetD,Binary,Time split,SetD→SetC,0.6611,0.5699,0.6551,0.5055
SetC↔SetD,Multiclass,Random split,SetC→SetD,0.7738,0.6026,0.5119,0.483
SetC↔SetD,Multiclass,Random split,SetD→SetC,0.5589,0.3677,0.4321,0.3166
SetC↔SetD,Multiclass,Time split,SetC→SetD,0.8291,0.7538,0.573,0.5526
SetC↔SetD,Multiclass,Time split,SetD→SetC,0.6224,0.4419,0.4489,0.3761
SetB↔SetD,Binary,Random split,SetB→SetD,0.849,0.874,0.687,0.6958
SetB↔SetD,Binary,Random split,SetD→SetB,0.6732,0.5787,0.6848,0.5075
SetB↔SetD,Binary,Time split,SetB→SetD,0.7723,0.8326,0.7123,0.6739
SetB↔SetD,Binary,Time split,SetD→SetB,0.6566,0.5343,0.6596,0.4732
SetB↔SetD,Multiclass,Random split,SetB→SetD,0.8118,0.6521,0.5071,0.4874
SetB↔SetD,Multiclass,Random split,SetD→SetB,0.5969,0.4068,0.4636,0.3511
SetB↔SetD,Multiclass,Time split,SetB→SetD,0.7305,0.6085,0.5165,0.4417
SetB↔SetD,Multiclass,Time split,SetD→SetB,0.5972,0.3803,0.4395,0.3232
SetB↔SetC,Binary,Random split,SetB→SetC,0.8896,0.816,0.7674,0.7487
SetB↔SetC,Binary,Random split,SetC→SetB,0.7964,0.7657,0.7992,0.7368
SetB↔SetC,Binary,Time split,SetB→SetC,0.7588,0.7528,0.6963,0.6544
SetB↔SetC,Binary,Time split,SetC→SetB,0.8767,0.7998,0.7475,0.7259
SetB↔SetC,Multiclass,Random split,SetB→SetC,0.8681,0.6755,0.5786,0.5715
SetB↔SetC,Multiclass,Random split,SetC→SetB,0.8225,0.7571,0.7139,0.6816
SetB↔SetC,Multiclass,Time split,SetB→SetC,0.7684,0.6496,0.5148,0.503
SetB↔SetC,Multiclass,Time split,SetC→SetB,0.9005,0.7497,0.6808,0.6627
SetA↔SetB,Binary,Random split,SetA→SetB,0.8388,0.5927,0.5577,0.5559
SetA↔SetB,Binary,Random split,SetB→SetA,0.6577,0.5074,0.4529,0.4547
SetA↔SetB,Binary,Time split,SetA→SetB,0.8707,0.6706,0.5378,0.5365
SetA↔SetB,Binary,Time split,SetB→SetA,0.8292,0.6718,0.5946,0.593
SetA↔SetB,Multiclass,Random split,SetA→SetB,0.836,0.518,0.4108,0.4219
SetA↔SetB,Multiclass,Random split,SetB→SetA,0.6815,0.3383,0.3938,0.318
SetA↔SetB,Multiclass,Time split,SetA→SetB,0.8484,0.523,0.4062,0.4157
SetA↔SetB,Multiclass,Time split,SetB→SetA,0.8201,0.4032,0.4305,0.3878
