model,Mean Cross-net Accuracy,Mean Cross-net Precision,Mean Cross-net Recall,Mean Cross-net Macro-F1,Best source,Worst source,Mean |asym| MacroF1,Max |asym| MacroF1
XGBoost,0.774,0.604,0.5766,0.5338,SetC,SetD,0.21,0.3213
LightGBM,0.7765,0.6055,0.5905,0.545,SetC,SetD,0.1975,0.3302
LSTM,0.7459,0.5573,0.5389,0.46,SetA,SetD,0.187,0.3242
RandomForest,0.7681,0.6054,0.5924,0.5422,SetC,SetD,0.1803,0.2952
MLP,0.8183,0.6158,0.5293,0.4923,SetC,SetD,0.1406,0.2539
RNN,0.8256,0.6033,0.5724,0.5155,SetA,SetD,0.1332,0.2314
GRU,0.8358,0.6015,0.5803,0.5258,SetA,SetD,0.13,0.2648
NN,0.7085,0.5667,0.5084,0.43,SetA,SetC,0.1083,0.2529
kNN,0.6409,0.5184,0.5119,0.4358,SetC,SetD,0.1,0.2058
LR,0.7903,0.6093,0.5439,0.5296,SetA,SetD,0.0944,0.1742
SVM,0.637,0.5356,0.479,0.397,SetC,SetD,0.0494,0.1362
