Condition,Setting,N configs,Accuracy,Precision,Recall,Macro-F1
Overall,Standard,499,0.7587,0.6055,0.5845,0.53
Overall,Case Study,499,0.795,0.6011,0.5551,0.5246
Split: Random split,Standard,265,0.7308,0.5875,0.563,0.5181
Split: Random split,Case Study,265,0.7983,0.6003,0.5552,0.5249
Split: Time split,Standard,234,0.7903,0.6259,0.6089,0.5436
Split: Time split,Case Study,234,0.7913,0.602,0.5551,0.5244
Sequences: True,Standard,302,0.7964,0.6059,0.5697,0.5103
Sequences: True,Case Study,302,0.8199,0.604,0.5295,0.5101
Sequences: False,Standard,197,0.7009,0.6049,0.6073,0.5603
Sequences: False,Case Study,197,0.7569,0.5967,0.5944,0.5469
