Train set,Val set,Setting,N runs,Accuracy,Precision,Recall,Macro-F1
SetA,SetC,Standard,39,0.8402,0.6345,0.5356,0.5317
SetA,SetC,Case Study,39,0.8981,0.8273,0.6988,0.7199
SetA,SetB,Standard,74,0.8402,0.6345,0.5356,0.5317
SetA,SetB,Case Study,74,0.8987,0.7728,0.6379,0.6603
SetB,SetA,Standard,39,0.769,0.611,0.5368,0.5065
SetB,SetA,Case Study,39,0.8712,0.7792,0.6232,0.6234
SetC,SetA,Standard,33,0.7888,0.6411,0.5641,0.5411
SetC,SetA,Case Study,33,0.9121,0.7986,0.5694,0.5883
SetD,SetA,Standard,68,0.6129,0.4722,0.5575,0.415
SetD,SetA,Case Study,68,0.8504,0.5863,0.7286,0.5822
SetA,SetD,Standard,78,0.8402,0.6345,0.5356,0.5317
SetA,SetD,Case Study,78,0.8559,0.5921,0.5409,0.5417
SetD,SetB,Standard,67,0.6129,0.4722,0.5575,0.415
SetD,SetB,Case Study,67,0.6691,0.4598,0.46,0.4033
SetB,SetD,Standard,39,0.769,0.611,0.5368,0.5065
SetB,SetD,Case Study,39,0.6573,0.4271,0.4335,0.4029
SetD,SetC,Standard,70,0.6129,0.4722,0.5575,0.415
SetD,SetC,Case Study,70,0.6609,0.4583,0.4571,0.3995
SetC,SetD,Standard,34,0.7888,0.6411,0.5641,0.5411
SetC,SetD,Case Study,34,0.6575,0.3955,0.3877,0.3543
