model,category,Setting,Accuracy,Precision,Recall,Macro-F1
xgboost,Classical ML,Standard,0.7929,0.6671,0.6235,0.5897
xgboost,Classical ML,Case Study,0.8916,0.7125,0.662,0.6474
logistic-regression,Classical ML,Standard,0.7973,0.6393,0.571,0.5582
logistic-regression,Classical ML,Case Study,0.8882,0.6978,0.6391,0.629
lightgbm,Classical ML,Standard,0.795,0.665,0.6295,0.5939
lightgbm,Classical ML,Case Study,0.8591,0.6765,0.6517,0.6115
random-forest,Classical ML,Standard,0.7872,0.6664,0.6364,0.594
random-forest,Classical ML,Case Study,0.8019,0.684,0.6553,0.5962
catboost,Classical ML,Case Study,0.8021,0.6532,0.6235,0.5943
mlp,Classical ML,Case Study,0.8743,0.6352,0.6315,0.589
gru,Deep Learning,Standard,0.8586,0.6789,0.6429,0.5979
gru,Deep Learning,Case Study,0.8851,0.6605,0.623,0.586
rnn,Deep Learning,Standard,0.8508,0.6735,0.637,0.5853
rnn,Deep Learning,Case Study,0.8527,0.6238,0.618,0.5662
nn,Classical ML,Case Study,0.8062,0.5637,0.6407,0.5315
svm,Classical ML,Case Study,0.823,0.5964,0.6125,0.5311
knn,Classical ML,Case Study,0.7848,0.5407,0.6471,0.5133
lstm,Classical ML,Case Study,0.7552,0.5454,0.6245,0.4972
