Eval regime,Task,Split,Family,Accuracy,Precision,Recall,Macro-F1
In-network,Binary,Random split,Deep Learning,0.9701,0.9138,0.8828,0.8852
In-network,Binary,Random split,Classical,0.9522,0.8446,0.8241,0.8206
In-network,Binary,Random split,Ensemble,0.9875,0.9627,0.933,0.947
In-network,Binary,Time split,Deep Learning,0.9769,0.8971,0.8091,0.8331
In-network,Binary,Time split,Classical,0.9716,0.8639,0.7621,0.7836
In-network,Binary,Time split,Ensemble,0.9758,0.8863,0.8485,0.8536
In-network,Multiclass,Random split,Deep Learning,0.974,0.8939,0.7551,0.7948
In-network,Multiclass,Random split,Classical,0.9591,0.8016,0.624,0.6618
In-network,Multiclass,Random split,Ensemble,0.9864,0.9412,0.8668,0.8969
In-network,Multiclass,Time split,Deep Learning,0.9737,0.8437,0.6921,0.7235
In-network,Multiclass,Time split,Classical,0.9675,0.7476,0.5968,0.6279
In-network,Multiclass,Time split,Ensemble,0.974,0.8502,0.7544,0.7779
Cross-network,Binary,Random split,Deep Learning,0.7622,0.6145,0.582,0.526
Cross-network,Binary,Random split,Classical,0.7445,0.6251,0.5961,0.5266
Cross-network,Binary,Random split,Ensemble,0.772,0.6393,0.5915,0.548
Cross-network,Binary,Time split,Deep Learning,0.821,0.6929,0.6321,0.5674
Cross-network,Binary,Time split,Classical,0.8034,0.6886,0.6156,0.5414
Cross-network,Binary,Time split,Ensemble,0.8434,0.7313,0.6809,0.6077
Cross-network,Multiclass,Random split,Deep Learning,0.7525,0.4992,0.4727,0.4034
Cross-network,Multiclass,Random split,Classical,0.7627,0.4865,0.4409,0.3839
Cross-network,Multiclass,Random split,Ensemble,0.77,0.5115,0.5054,0.4296
Cross-network,Multiclass,Time split,Deep Learning,0.8117,0.5492,0.4967,0.4421
Cross-network,Multiclass,Time split,Classical,0.8196,0.5041,0.4459,0.3891
Cross-network,Multiclass,Time split,Ensemble,0.8566,0.5811,0.5773,0.5122
