Model,Family,Regime,Accuracy,Precision,Recall,Macro-F1
LightGBM,Ensemble,In-network (Random split),0.9873,0.952,0.902,0.9233
LightGBM,Ensemble,In-network (Time split),0.9692,0.8447,0.8171,0.8202
LightGBM,Ensemble,Cross-network,0.8399,0.6972,0.666,0.6131
XGBoost,Ensemble,In-network (Random split),0.9869,0.9505,0.8999,0.9214
XGBoost,Ensemble,In-network (Time split),0.9766,0.886,0.7991,0.8183
XGBoost,Ensemble,Cross-network,0.833,0.6967,0.647,0.5993
Random Forest,Ensemble,In-network (Random split),0.9867,0.9534,0.898,0.9212
Random Forest,Ensemble,In-network (Time split),0.9789,0.874,0.7882,0.8089
Random Forest,Ensemble,Cross-network,0.8342,0.7084,0.6661,0.6087
GRU,Deep Learning,In-network (Random split),0.9802,0.9164,0.8657,0.8843
GRU,Deep Learning,In-network (Time split),0.9717,0.8542,0.7748,0.7948
GRU,Deep Learning,Cross-network,0.8586,0.6789,0.6429,0.5979
RNN,Deep Learning,In-network (Random split),0.9791,0.929,0.845,0.8751
RNN,Deep Learning,In-network (Time split),0.9713,0.8598,0.7696,0.7902
RNN,Deep Learning,Cross-network,0.8508,0.6735,0.637,0.5853
LSTM,Deep Learning,In-network (Random split),0.9789,0.929,0.8422,0.8732
LSTM,Deep Learning,In-network (Time split),0.9789,0.8661,0.7588,0.785
LSTM,Deep Learning,Cross-network,0.7574,0.5951,0.5863,0.4992
k-NN,Classical,In-network (Random split),0.9634,0.8643,0.769,0.8054
k-NN,Classical,In-network (Time split),0.9689,0.8165,0.7369,0.7613
k-NN,Classical,Cross-network,0.7405,0.5374,0.5713,0.4665
NN,Deep Learning,In-network (Random split),0.9509,0.8299,0.7917,0.7808
NN,Deep Learning,In-network (Time split),0.9776,0.8932,0.7269,0.7637
NN,Deep Learning,Cross-network,0.6917,0.5686,0.5362,0.4337
MLP,Deep Learning,In-network (Random split),0.9713,0.915,0.7501,0.7864
MLP,Deep Learning,In-network (Time split),0.9769,0.8788,0.7228,0.7577
MLP,Deep Learning,Cross-network,0.8375,0.6842,0.5876,0.5592
Logistic Regression,Classical,In-network (Random split),0.9648,0.8268,0.7125,0.7413
Logistic Regression,Classical,In-network (Time split),0.9707,0.8044,0.6816,0.7064
Logistic Regression,Classical,Cross-network,0.9313,0.7327,0.6115,0.6176
SVM,Classical,In-network (Random split),0.9387,0.7782,0.6906,0.6769
SVM,Classical,In-network (Time split),0.969,0.7963,0.6199,0.6495
SVM,Classical,Cross-network,0.6589,0.539,0.5077,0.3784
