model,SetA in-net (Random),SetA→SetC (Random),SetA in-net (Time),SetA→SetC (Time),Temporal drop (Time)
gru,0.758,0.5174,0.4865,0.538,-0.0515
rnn,0.7234,0.4936,0.4672,0.5055,-0.0383
lightgbm,0.8448,0.5302,0.5558,0.4886,0.0672
logistic-regression,0.6025,0.611,0.5087,0.4805,0.0282
random-forest,0.8377,0.5213,0.5206,0.465,0.0556
nn,0.5578,0.4812,0.4907,0.4366,0.0541
mlp,0.5204,0.4642,0.4498,0.432,0.0178
xgboost,0.8419,0.4817,0.5475,0.4233,0.1242
lstm,0.7109,0.4657,0.5095,0.4151,0.0944
svm,0.6213,0.3868,0.4924,0.4128,0.0796
knn,0.7171,0.4751,0.5263,0.2747,0.2516
