model,SetB in-net (Random),SetB→SetC (Random),SetB in-net (Time),SetB→SetC (Time),Temporal drop (Time)
gru,0.9324,0.8328,0.9167,0.7624,0.1543
rnn,0.9379,0.7541,0.9239,0.753,0.1709
mlp,0.9063,0.7534,0.8888,0.7395,0.1493
random-forest,0.845,0.7574,0.7975,0.7068,0.0907
xgboost,0.8406,0.7596,0.781,0.6882,0.0928
lightgbm,0.8445,0.7598,0.7833,0.6842,0.0991
logistic-regression,0.6973,0.64,0.6979,0.6774,0.0205
lstm,0.9379,0.6499,0.892,0.4248,0.4672
nn,0.8901,0.419,0.8783,0.3991,0.4792
svm,0.7186,0.4373,0.5725,0.3282,0.2443
knn,0.8138,0.552,0.7633,0.2946,0.4687
