Model,Category,In-network F1,Cross-network F1,$\Delta$ F1,$p$-value,Cohen's $d$
lstm,Deep Learning,0.8291,0.4839,-0.3452,0.0,3.835
nn,Deep Learning,0.7722,0.4305,-0.3417,0.0,2.639
knn,Classical ML,0.7606,0.4479,-0.3127,0.0,3.504
svm,Classical ML,0.6779,0.3991,-0.2788,0.0,1.965
rnn,Deep Learning,0.8327,0.5678,-0.2649,0.0002,1.709
gru,Deep Learning,0.8396,0.5808,-0.2588,0.0002,1.806
xgboost,Classical ML,0.8088,0.5707,-0.2381,0.0001,1.926
lightgbm,Classical ML,0.8105,0.5795,-0.231,0.0001,1.77
random-forest,Classical ML,0.8072,0.5785,-0.2286,0.0001,1.708
mlp,Deep Learning,0.7721,0.5438,-0.2283,0.0002,1.746
logistic-regression,Classical ML,0.6968,0.5526,-0.1442,0.0002,1.318
