model,Mean Cross-net F1,Best source network,Worst source network,Mean |Asymmetry|,Max |Asymmetry|
xgboost,0.5897,SetC,SetD,0.2131,0.3213
lightgbm,0.5939,SetC,SetD,0.2089,0.3302
lstm,0.4992,SetC,SetD,0.2003,0.3242
random-forest,0.594,SetC,SetD,0.1882,0.2952
rnn,0.5853,SetC,SetD,0.1555,0.2314
mlp,0.5592,SetC,SetD,0.155,0.2539
gru,0.5979,SetC,SetD,0.1403,0.2648
knn,0.4577,SetC,SetD,0.1244,0.2058
nn,0.4337,SetA,SetB,0.1,0.2529
logistic-regression,0.5582,SetC,SetD,0.0895,0.1742
svm,0.3936,SetA,SetD,0.0495,0.1362
