Rank,model,category,train_set,val_set,mean_f1
1,logistic-regression,Classical ML,SetD,SetA,0.7522
2,rnn,Deep Learning,SetD,SetA,0.7517
3,xgboost,Classical ML,SetA,SetC,0.7481
4,lightgbm,Classical ML,SetA,SetC,0.7412
5,xgboost,Classical ML,SetA,SetB,0.7381
6,random-forest,Classical ML,SetA,SetC,0.7243
7,lightgbm,Classical ML,SetA,SetB,0.7118
8,random-forest,Classical ML,SetA,SetB,0.7051
9,logistic-regression,Classical ML,SetA,SetD,0.6889
10,nn,Deep Learning,SetA,SetB,0.6851
11,rnn,Deep Learning,SetA,SetC,0.6821
12,lstm,Deep Learning,SetA,SetB,0.6741
13,xgboost,Classical ML,SetB,SetA,0.6678
14,gru,Deep Learning,SetA,SetB,0.658
15,rnn,Deep Learning,SetA,SetB,0.6478
16,xgboost,Classical ML,SetC,SetA,0.6446
17,gru,Deep Learning,SetA,SetC,0.6446
18,knn,Classical ML,SetA,SetB,0.6394
19,logistic-regression,Classical ML,SetA,SetC,0.638
20,random-forest,Classical ML,SetB,SetA,0.637
21,lightgbm,Classical ML,SetB,SetA,0.62
22,mlp,Deep Learning,SetA,SetB,0.6168
23,lightgbm,Classical ML,SetC,SetA,0.6119
24,xgboost,Classical ML,SetD,SetA,0.6078
25,rnn,Deep Learning,SetB,SetA,0.6045
26,random-forest,Classical ML,SetC,SetA,0.5851
27,gru,Deep Learning,SetD,SetA,0.5842
28,logistic-regression,Classical ML,SetA,SetB,0.5689
29,logistic-regression,Classical ML,SetB,SetA,0.5505
30,gru,Deep Learning,SetB,SetA,0.549
31,rnn,Deep Learning,SetC,SetA,0.5406
32,rnn,Deep Learning,SetA,SetD,0.536
33,svm,Classical ML,SetA,SetB,0.5356
34,xgboost,Classical ML,SetA,SetD,0.5336
35,lightgbm,Classical ML,SetA,SetD,0.5275
36,logistic-regression,Classical ML,SetC,SetA,0.5207
37,random-forest,Classical ML,SetA,SetD,0.5179
38,gru,Deep Learning,SetC,SetA,0.5081
39,random-forest,Classical ML,SetD,SetA,0.506
40,xgboost,Classical ML,SetD,SetB,0.5008
41,lightgbm,Classical ML,SetD,SetA,0.4992
42,gru,Deep Learning,SetA,SetD,0.4899
43,lightgbm,Classical ML,SetD,SetB,0.4787
44,xgboost,Classical ML,SetD,SetC,0.4709
45,lstm,Deep Learning,SetD,SetA,0.4565
46,lightgbm,Classical ML,SetD,SetC,0.4551
47,logistic-regression,Classical ML,SetB,SetD,0.4354
48,xgboost,Classical ML,SetB,SetD,0.4057
49,rnn,Deep Learning,SetC,SetD,0.405
50,logistic-regression,Classical ML,SetD,SetB,0.4034
51,lightgbm,Classical ML,SetB,SetD,0.4018
52,random-forest,Classical ML,SetB,SetD,0.4013
53,logistic-regression,Classical ML,SetD,SetC,0.4013
54,rnn,Deep Learning,SetB,SetD,0.4011
55,rnn,Deep Learning,SetD,SetC,0.4007
56,gru,Deep Learning,SetD,SetC,0.3998
57,mlp,Deep Learning,SetD,SetC,0.3974
58,random-forest,Classical ML,SetD,SetC,0.3948
59,mlp,Deep Learning,SetD,SetB,0.3946
60,gru,Deep Learning,SetD,SetB,0.3897
61,rnn,Deep Learning,SetD,SetB,0.3792
62,random-forest,Classical ML,SetD,SetB,0.3784
63,svm,Classical ML,SetD,SetC,0.377
64,logistic-regression,Classical ML,SetC,SetD,0.3759
65,svm,Classical ML,SetD,SetB,0.3735
66,nn,Deep Learning,SetD,SetC,0.3675
67,nn,Deep Learning,SetD,SetB,0.366
68,lstm,Deep Learning,SetD,SetB,0.3654
69,xgboost,Classical ML,SetC,SetD,0.3601
70,knn,Classical ML,SetD,SetC,0.351
71,lightgbm,Classical ML,SetC,SetD,0.3506
72,gru,Deep Learning,SetC,SetD,0.3504
73,knn,Classical ML,SetD,SetB,0.3404
74,lstm,Deep Learning,SetD,SetC,0.3402
75,random-forest,Classical ML,SetC,SetD,0.3394
76,gru,Deep Learning,SetB,SetD,0.3361
77,knn,Classical ML,SetC,SetD,0.2825
