run_id,run_name,model,task,split,enable_sequences,run_no,train_set,val_set,test_sets,case_study/SetA/accuracy,case_study/SetA/component_evaluation/accuracy,case_study/SetA/component_evaluation/f1_score,case_study/SetA/component_evaluation/precision,case_study/SetA/component_evaluation/recall,case_study/SetA/event_evaluation/accuracy,case_study/SetA/event_evaluation/f1_score,case_study/SetA/event_evaluation/precision,case_study/SetA/event_evaluation/recall,case_study/SetA/f1_score,case_study/SetA/precision,case_study/SetA/recall,case_study/SetB/accuracy,case_study/SetB/component_evaluation/accuracy,case_study/SetB/component_evaluation/f1_score,case_study/SetB/component_evaluation/precision,case_study/SetB/component_evaluation/recall,case_study/SetB/event_evaluation/accuracy,case_study/SetB/event_evaluation/f1_score,case_study/SetB/event_evaluation/precision,case_study/SetB/event_evaluation/recall,case_study/SetB/f1_score,case_study/SetB/precision,case_study/SetB/recall,case_study/SetC/accuracy,case_study/SetC/component_evaluation/accuracy,case_study/SetC/component_evaluation/f1_score,case_study/SetC/component_evaluation/precision,case_study/SetC/component_evaluation/recall,case_study/SetC/event_evaluation/accuracy,case_study/SetC/event_evaluation/f1_score,case_study/SetC/event_evaluation/precision,case_study/SetC/event_evaluation/recall,case_study/SetC/f1_score,case_study/SetC/precision,case_study/SetC/recall,case_study/SetD/accuracy,case_study/SetD/component_evaluation/accuracy,case_study/SetD/component_evaluation/f1_score,case_study/SetD/component_evaluation/precision,case_study/SetD/component_evaluation/recall,case_study/SetD/event_evaluation/accuracy,case_study/SetD/event_evaluation/f1_score,case_study/SetD/event_evaluation/precision,case_study/SetD/event_evaluation/recall,case_study/SetD/f1_score,case_study/SetD/precision,case_study/SetD/recall,case_study/accuracy/SetA_accuracy,case_study/accuracy/SetB_accuracy,case_study/accuracy/SetC_accuracy,case_study/accuracy/SetD_accuracy
nffyu0k3,gru|seq|b|r|12,gru,Binary,Random split,True,12,SetA,SetB,"SetC,SetD",,,,,,,,,,,,,,,,,,,,,,,,,0.9484307692307692,,,,,,,,,0.6016392184149032,0.5964437348304751,0.6075751954890846,0.939639946350681,,,,,,,,,0.7901280869549797,0.8897861043154145,0.7370789890581557,0.945318212224452,0.948123076923077,0.9484307692307692,0.939639946350681
u1vxgvw8,cnn|seq|b|r|11,cnn,Binary,Random split,True,11,SetA,SetB,"SetC,SetD",,,,,,,,,,,,,,,,,,,,,,,,,0.3771,,,,,,,,,0.28691812318668386,0.4818340525890627,0.35911040230806845,0.24482185821316693,,,,,,,,,0.2394051139429118,0.4988308236160887,0.4980333958222243,0.7612457304891409,0.3471461538461538,0.3771,0.24482185821316693
dpj4lhdp,gru|seq|m|r|12,gru,Multiclass,Random split,True,12,SetA,SetB,"SetC,SetD",,,,,,,,,,,,,,,,,,,,,,,,,0.9543307692307692,,,,,,,,,0.4903371697359762,0.5666831260103399,0.4625877581583815,0.905259141291011,,,,,,,,,0.5471731082520721,0.692724967056744,0.4910366668903473,0.948904030740032,0.9381769230769232,0.9543307692307692,0.905259141291011
lp01qdxy,cnn|seq|m|rsd|10,cnn,Multiclass,Random with same distribution,True,10,SetA,SetB,"SetC,SetD",,,,,,,,,,,,,,,,,,,,,,,,,0.9659538461538462,,,,,,,,,0.47398061792727214,0.5149085204618925,0.4509319358726231,0.927002195783456,,,,,,,,,0.6141654161106883,0.9267616668478816,0.5535228563465585,0.9250400584931784,0.9596153846153846,0.9659538461538462,0.927002195783456
2mmc2dnq,cnn|seq|b|t|15,cnn,Binary,Time split,True,15,SetA,SetB,"SetC,SetD",,,,,,,,,,,,,,,,,,,,,,,,,0.8240076923076923,,,,,,,,,0.4874096714265524,0.506902866181035,0.5300259272084553,0.8993069915481758,,,,,,,,,0.7442225956339819,0.7239349861326804,0.7712278047485375,0.9318616698557894,0.8821384615384615,0.8240076923076923,0.8993069915481758
qje9b1bs,cnn|seq|m|r|15,cnn,Multiclass,Random split,True,15,SetA,SetB,"SetC,SetD",,,,,,,,,,,,,,,,,,,,,,,,,0.02546923076923077,,,,,,,,,0.1327821584711598,0.2813015356546992,0.4189914506887802,0.08224705648487286,,,,,,,,,0.2868524727333352,0.3434225230639694,0.5309758823142504,0.484407284609101,0.03127692307692308,0.02546923076923077,0.08224705648487286
3asezl0c,cnn|seq|b|r|12,cnn,Binary,Random split,True,12,SetA,SetB,"SetC,SetD",,,,,,,,,,,,,,,,,,,,,,,,,0.3496,,,,,,,,,0.27403372526030545,0.4848808843148056,0.38695634742835705,0.24521257514446249,,,,,,,,,0.2398654481433513,0.5001807678915485,0.5003033899545757,0.7669531803828059,0.32583076923076926,0.3496,0.24521257514446249
3mrynqmg,cnn|seq|b|t|12,cnn,Binary,Time split,True,12,SetA,SetB,"SetC,SetD",,,,,,,,,,,,,,,,,,,,,,,,,0.8706307692307692,,,,,,,,,0.5103462853000567,0.5148814373678211,0.5478560545010153,0.8960967150074145,,,,,,,,,0.6909730557237966,0.7030246458855414,0.6807956059399838,0.9297692941926852,0.901846153846154,0.8706307692307692,0.8960967150074145
haya9be8,cnn|seq|b|r|16,cnn,Binary,Random split,True,16,SetA,SetB,"SetC,SetD",,,,,,,,,,,,,,,,,,,,,,,,,0.2144076923076923,,,,,,,,,0.1821370800966083,0.4536346124702351,0.23141718272235584,0.12489917903746542,,,,,,,,,0.1242742889097608,0.3305031014322497,0.29097209985074357,0.6929980021911452,0.20163846153846152,0.2144076923076923,0.12489917903746542
xvpr2axc,gru|seq|b|r|10,gru,Binary,Random split,True,10,SetA,SetB,"SetC,SetD",,,,,,,,,,,,,,,,,,,,,,,,,0.9443384615384616,,,,,,,,,0.5935049316734631,0.584790574053657,0.6048734313938506,0.9346908652209378,,,,,,,,,0.742413048315532,0.9396895699467328,0.6781320941001304,0.9254989810363872,0.9491615384615384,0.9443384615384616,0.9346908652209378
