Name,model,task,split,enable_sequences,run_no,SetA/SetA/accuracy,SetA/SetA/f1_score,SetA/SetA/precision,SetA/SetA/recall,SetA/SetB/accuracy,SetA/SetB/f1_score,SetA/SetB/precision,SetA/SetB/recall,SetA/SetC/accuracy,SetA/SetC/f1_score,SetA/SetC/precision,SetA/SetC/recall,SetA/SetD/accuracy,SetA/SetD/f1_score,SetA/SetD/precision,SetA/SetD/recall,SetB/SetA/accuracy,SetB/SetA/f1_score,SetB/SetA/precision,SetB/SetA/recall,SetB/SetB/accuracy,SetB/SetB/f1_score,SetB/SetB/precision,SetB/SetB/recall,SetB/SetC/accuracy,SetB/SetC/f1_score,SetB/SetC/precision,SetB/SetC/recall,SetB/SetD/accuracy,SetB/SetD/f1_score,SetB/SetD/precision,SetB/SetD/recall,SetC/SetA/accuracy,SetC/SetA/f1_score,SetC/SetA/precision,SetC/SetA/recall,SetC/SetB/accuracy,SetC/SetB/f1_score,SetC/SetB/precision,SetC/SetB/recall,SetC/SetC/accuracy,SetC/SetC/f1_score,SetC/SetC/precision,SetC/SetC/recall,SetC/SetD/accuracy,SetC/SetD/f1_score,SetC/SetD/precision,SetC/SetD/recall,SetD/SetA/accuracy,SetD/SetA/f1_score,SetD/SetA/precision,SetD/SetA/recall,SetD/SetB/accuracy,SetD/SetB/f1_score,SetD/SetB/precision,SetD/SetB/recall,SetD/SetC/accuracy,SetD/SetC/f1_score,SetD/SetC/precision,SetD/SetC/recall,SetD/SetD/accuracy,SetD/SetD/f1_score,SetD/SetD/precision,SetD/SetD/recall
gru|seq|b|t|50,gru,Binary,Time split,True,50,0.8899810733255998,0.5328477728923119,0.528138242608124,0.5506317239824702,0.9473734631965512,0.5655811869943929,0.5641943660350998,0.5670485119303927,0.9248223842759226,0.5982356002585487,0.5772155696371104,0.6487873100115422,0.945657634230667,0.8316782656694424,0.8796895931886487,0.7967959526822288,0.9603760913364674,0.6997526073365468,0.776509444688124,0.6587431879635207,0.9944116238224492,0.9492663812965708,0.9864235313377652,0.9176763695483978,0.9894838972176144,0.9035451215585252,0.9854072694318342,0.8464401367809025,0.940804054253716,0.7762495559501845,0.9661559528119044,0.7067844861975692,0.960864521643568,0.7024274313675167,0.7820049968475633,0.6603313701970662,0.9934216828995688,0.9415257713762436,0.9665665243023026,0.9191897793953492,0.9907671121404652,0.9180221988615668,0.9807058408008622,0.8705640440053566,0.9352929877958688,0.7482381256794416,0.9558743793181051,0.6818599330824808,0.720373649184932,0.5263505456856882,0.5609239965923598,0.8151442730385847,0.5955931662142743,0.4288232341236708,0.5296142494343863,0.7448707355202491,0.6176332509154643,0.4419278409009018,0.5309301470241496,0.7346988770589948,0.9937797346414112,0.9827470842090148,0.9843996166188868,0.981108984882725
gru|seq|m|r|50,gru,Multiclass,Random split,True,50,0.9433479260963122,0.7243137891507537,0.7772245108403131,0.7041281258481712,0.9341923076923077,0.4298930827192981,0.53949385772888,0.3966306117100845,0.9357307692307693,0.4816347681654279,0.5923914949775667,0.4781200277573962,0.9189553534707308,0.6211481320771953,0.6880049139225867,0.580502517585672,0.6403502263114936,0.2663938876420996,0.3012453962477872,0.3622883688457459,0.9938076923076924,0.8947182927467678,0.9690949744671896,0.8468798387199775,0.9875769230769232,0.7362123283471517,0.8007052104445928,0.6883625587413137,0.9091760727505368,0.4155479331435667,0.5595552559125528,0.4090572982358398,0.665244490613638,0.2722179348117642,0.3021183942081796,0.3534136222660813,0.9933846153846154,0.8795712988816279,0.978253865045274,0.8255121282664125,0.9934615384615384,0.82144053588805,0.9787995343616394,0.7640371496683852,0.905565964447288,0.3812723282490138,0.5533145746943976,0.3734204292177575,0.5552422645989463,0.3266505913656884,0.3986135334729122,0.5253894927494901,0.7843076923076923,0.5300073255032421,0.5316239332313439,0.7397980444265985,0.7621538461538462,0.43831883233386,0.4378327221211225,0.6463386342532192,0.9901293241328886,0.9450051789153378,0.9477138419480252,0.942463954281714
gru|seq|b|r|50,gru,Binary,Random split,True,50,0.942309119240187,0.7866560210166786,0.8106003006352132,0.7668607241660954,0.9405,0.5288188228715247,0.5369857068943861,0.5246496011170724,0.9255384615384616,0.5699829951237971,0.5561723996706245,0.6021703603417558,0.925775716309464,0.7353596694955356,0.8331547116570504,0.6885640279750179,0.6458039623061512,0.4051099971449284,0.4567414523921997,0.3787222057124251,0.994346153846154,0.9615027330591754,0.9760510336445384,0.947889661575112,0.9919230769230768,0.9312932927757388,0.9495846662967816,0.91452638813767,0.9337842160581272,0.737069768315425,0.939080542597198,0.6733517632977067,0.6434295466350078,0.4007419283157141,0.4534926361254309,0.3696956800959206,0.9939230769230768,0.9573194432709946,0.9882628541475058,0.9303437550048046,0.9933846153846154,0.940963696369637,0.9858541511091836,0.904087029197378,0.9176643970205182,0.6315260784552384,0.910817422827926,0.5913114728583829,0.6077020108332715,0.4245627258448933,0.4860822531588705,0.4560487582060335,0.9175384615384616,0.7107269488235787,0.6545047339962663,0.9158717368673928,0.8831538461538462,0.6264019457596621,0.5944889231361973,0.8707407459544594,0.9941392862039026,0.9835127649885596,0.9836375618177712,0.9833880505937174
gru|seq|b|rsd|50,gru,Binary,Random with same distribution,True,50,0.9210907067334446,0.4794623718208678,0.4605453533667223,0.5,0.9606153846153846,0.4899560577526679,0.4803076923076923,0.5,0.9683858313141802,0.4919695193434935,0.4841929156570901,0.5,0.9013846364758032,0.4740674870217266,0.4506923182379016,0.5,0.5331107401224263,0.3901148666314187,0.4796243568819693,0.4310327265976377,0.9940769230769232,0.9588119388100946,0.984336604694771,0.9360429762572068,0.9921156878581592,0.9290401667132504,0.9783828947961948,0.8894260887664758,0.7930585385916008,0.5682229007634386,0.5610203692278096,0.6012234166264355,0.6262289000185495,0.4030286833296176,0.4601189876700973,0.3827107083476206,0.994346153846154,0.9603899531385786,0.990132130081684,0.9343100626601536,0.9943079112341832,0.9495925642984466,0.9914373025647896,0.9146829866042347,0.924701823333181,0.6891866155197746,0.9017394280371488,0.6353497317729532,0.6133555926544241,0.424507992608071,0.4840861893497634,0.4503048391835689,0.6463076923076924,0.4732760746870099,0.5449088649057878,0.78172013883328,0.6528979654628668,0.460162682742656,0.5342150397000273,0.7607648941607289,0.9852282593794268,0.9571062297082014,0.9726549667622676,0.9427985589623776
gru|seq|m|t|50,gru,Multiclass,Time split,True,50,0.8806398437023018,0.4471615717095388,0.5364367886525468,0.4455803631722774,0.8000958007344723,0.3515405737185653,0.3598441513591026,0.3865270144829535,0.8782510719539295,0.4227853399880019,0.4154993995904032,0.4684402204127567,0.9306536449868504,0.7139884615490703,0.7696882358436988,0.6747398249778277,0.9296049819891324,0.3994278510521612,0.3840131807904269,0.4412255280558777,0.9934536164777265,0.9030337155789696,0.9502518944893455,0.867036092497982,0.9823792682545148,0.6243529160768825,0.697801210132885,0.5777851675249415,0.92688602582666,0.5775494676568367,0.7671533952037994,0.6071225031888097,0.960437145124855,0.5335077591205146,0.5436197154841634,0.5252664335151725,0.9886955133322688,0.8479655753119943,0.9151933162120256,0.8342932343183586,0.9902976432662516,0.6917995090181229,0.9523215833353956,0.6702238203897172,0.9238867054756064,0.5817100713260652,0.8284909558052503,0.5647959295508541,0.8815556505281152,0.5196692478018513,0.5262550543034656,0.6478308723952323,0.6982915535685773,0.3002578855082902,0.3454447111249136,0.3690502530424922,0.8528058589715501,0.4527820916699945,0.4600284767623601,0.4812606771204032,0.9862814337637776,0.926907350487431,0.947637755016017,0.9102904473793858
gru|seq|m|rsd|50,gru,Multiclass,Random with same distribution,True,50,0.9386036503932336,0.6931600636270984,0.74379925483584,0.6775140283177562,0.930387292796431,0.3982151777793872,0.4941426503730369,0.3725170339771391,0.9466943579093112,0.4657538754252825,0.5644275836789797,0.4445735267565633,0.9006420509070968,0.51636058837036,0.617525669305122,0.4732792484669115,0.6426769550378394,0.2693788629924414,0.3145275370442235,0.3740526066583479,0.994192531056498,0.9060895900189616,0.9505066687274656,0.8721652085399905,0.987154340217684,0.7333988906878272,0.7901234841683425,0.6929782736473684,0.913140337248092,0.4657181007752514,0.7207639763360385,0.4547281845421981,0.6625241133699362,0.2760240930651697,0.3170241499657422,0.4079156922138514,0.9931925695165572,0.880240377721659,0.9603991650503196,0.8343275970766637,0.9930387292796432,0.8503357891408593,0.9307946523873346,0.8029575591125445,0.9150710597267284,0.5003938437204706,0.6802145506951421,0.4724769282503709,0.5672206558836622,0.3279685017341516,0.386080240666536,0.5311080584130343,0.8078150840352294,0.4808682644914613,0.4859693619345003,0.6674743780301667,0.7936617822391446,0.4367765016902221,0.4301140004169194,0.6362917288850239,0.9880957821139698,0.9351945016075256,0.9288931872524064,0.9418201674377736
gru|seq|m|rsd|51,gru,Multiclass,Random with same distribution,True,51,0.9419424246920908,0.7290585425659776,0.7649303471568119,0.73309602359952,0.9263105265182108,0.3945450880685675,0.4826171425694405,0.3701506900373674,0.9344255990154224,0.4356633786377498,0.4468292893420608,0.4376584495424074,0.9019558561440388,0.5427924324381549,0.6396957226078758,0.4972714775371511,0.64419795221843,0.2691388750155077,0.3068431770890583,0.3969349241046899,0.9947309718856968,0.9107585867442805,0.985972398111572,0.8631921061296021,0.9880389215799392,0.7351151339004044,0.786917369839462,0.6960355520172644,0.91282045423388,0.4610750897368969,0.7202313762071634,0.4424156115835039,0.6624870158777266,0.2759579232570677,0.3185474958596162,0.36276388324426,0.993423329871928,0.8954042039501592,0.9477676635938668,0.8602817522555645,0.9930002692204146,0.838729162124168,0.8982212430248384,0.8036590674957006,0.9164077137504,0.518168050721869,0.6835885116090509,0.4851063096452826,0.5984567443240837,0.3288472960383855,0.3782228658072422,0.525449903481864,0.8497365485942848,0.3512972438920163,0.3594373626364586,0.5045746949364768,0.835890927272028,0.4089410332687915,0.4050965861819512,0.5600754015032897,0.9884270895215465,0.9329259912910172,0.936836967224282,0.9305623482288392
gru|seq|m|t|51,gru,Multiclass,Time split,True,51,0.909518285609622,0.4052025873053018,0.5373736716243175,0.3810408256030154,0.876257384639949,0.4399109839338637,0.5828968306601527,0.3900010818482505,0.9534599856029544,0.4417094055849107,0.6307149181151094,0.4184872699366309,0.9442022989864366,0.7531970411705121,0.873790023800014,0.6920480518368556,0.9527443677880212,0.4899282415659937,0.4772153385677299,0.5165091771682552,0.9939006865719304,0.9084220412935556,0.9700596482740113,0.8656279857654515,0.9871991486964414,0.6889256546052653,0.769166087939268,0.6504058465373994,0.9264797139564434,0.5837606085549971,0.814481519359126,0.5979268688934186,0.9528664753647964,0.4186646172566149,0.4555666779392653,0.4010506206421345,0.9912501995848636,0.878721052527542,0.934687240244784,0.8550592524189549,0.9907671121404652,0.7161565722827873,0.9183956046812208,0.6844147288289136,0.9288141603380516,0.6206170586121881,0.8648525522815719,0.604931753355165,0.502411624641309,0.4254595944603622,0.476584503475738,0.7141173251936128,0.1379530576401085,0.0956209668261647,0.3378744865789411,0.2614893589056799,0.3401458483302557,0.1885089195154442,0.3378442594344091,0.3351365010199885,0.9876924440767116,0.9320690807588116,0.9418125318629452,0.9248523088511345
gru|seq|m|rsd|52,gru,Multiclass,Random with same distribution,True,52,0.9443908591779197,0.737258961430913,0.7801553966244005,0.7212761774274786,0.933925618245452,0.4116058059260419,0.4703319299685816,0.3880024243087266,0.9374639436944732,0.440540223830638,0.4244748190443048,0.4650464066044578,0.9123292053191976,0.602627042236493,0.6981573601082732,0.5506889803929075,0.6397091556610773,0.2694442810424817,0.3129798534356979,0.3907654404169728,0.9938463905234414,0.8998347168390354,0.960582589529734,0.8588523121222097,0.989115803238337,0.7620540030936541,0.8123627413397396,0.7225808915484601,0.9158479184755288,0.4744433782893131,0.6697312714217171,0.471678489643556,0.6610773111737647,0.2736738766000461,0.3080197713548083,0.3613043946576,0.9927695088650436,0.8588554598078931,0.9758897244298504,0.8053386423380239,0.9922310680358448,0.7810135344189882,0.9492101139766864,0.726922895469539,0.9052003838596172,0.3707782859693223,0.5794449574134645,0.3650638167358311,0.5855839145273779,0.3344751718789498,0.3964241308750324,0.536761101934391,0.8777739317718549,0.5948586948845644,0.5498015752400118,0.8221663086656239,0.8613899465405177,0.5091938152557138,0.4690274395361278,0.7425697412986407,0.9890440067632408,0.938293689145992,0.9434249808581016,0.9344928280620656
gru|seq|b|r|51,gru,Binary,Random split,True,51,0.9425317207093566,0.7594431288886516,0.8370890709506698,0.7147527178626163,0.9495769230769232,0.5377500028173572,0.5664773812976164,0.528905874639654,0.9569230769230768,0.5912037835662124,0.6093376265658611,0.5789009159702765,0.9237193255038156,0.7047564178793776,0.853805032818995,0.6535823580957347,0.647658974549232,0.4035790137400916,0.4549118365104156,0.3745707697359758,0.9939615384615385,0.95765313069357,0.9877770820005608,0.931300298286355,0.9903846153846154,0.9119102731594668,0.9691374239857522,0.8677779401555508,0.9250102819540282,0.6912960416876679,0.902093765920184,0.6370684404773231,0.6580470431104846,0.4084219012728411,0.4565311197269395,0.3817143263257624,0.993653846153846,0.9550460424406226,0.9906916855563206,0.9245844760970532,0.993346153846154,0.9407354634125088,0.984455844821032,0.9046563269596268,0.92494173559384,0.684496104040786,0.9199814519004612,0.630375711679711,0.5992060547599615,0.4211576222879157,0.4857385424265522,0.4544459128726973,0.9124230769230768,0.7025893131421207,0.6483501586859266,0.9160187530028828,0.8933461538461539,0.6384387645638436,0.601526346058624,0.8724681342489118,0.9946990814787736,0.9850744738803828,0.985626591255613,0.9845239601283168
